x-axis,1,2,F1
second,Volt,Volt,Volt
+110.95000E-06,+14.88359745642E+00,+14.98419904624E+00,+100.55493755E-03
+111.00000E-06,+14.88010035025E+00,+14.98191248430E+00,+101.76312072E-03
+111.05000E-06,+14.87717900077E+00,+14.98107400557E+00,+103.84644975E-03
+111.10000E-06,+14.87438434604E+00,+14.97927600672E+00,+104.84248441E-03
+111.15000E-06,+14.87084528669E+00,+14.97548099428E+00,+104.58744600E-03
+111.20000E-06,+14.86823694549E+00,+14.97377359688E+00,+105.48776824E-03
+111.25000E-06,+14.86446620555E+00,+14.96864963631E+00,+104.13414286E-03
+111.30000E-06,+14.86154817271E+00,+14.96558348175E+00,+103.98564588E-03
+111.35000E-06,+14.85819184417E+00,+14.95843494559E+00,+100.19555208E-03
+111.40000E-06,+14.85509675197E+00,+14.95662903883E+00,+101.48434888E-03
+111.45000E-06,+14.85264956535E+00,+14.95711862706E+00,+104.42011071E-03
+111.50000E-06,+14.84993857276E+00,+14.95477307875E+00,+104.78505658E-03
+111.55000E-06,+14.84781051511E+00,+14.95894800581E+00,+111.08676109E-03
+111.60000E-06,+14.84526955514E+00,+14.95248833569E+00,+107.16930448E-03
+111.65000E-06,+14.84242599133E+00,+14.95040276340E+00,+107.92672846E-03
+111.70000E-06,+14.84009033037E+00,+14.94711099921E+00,+106.96999313E-03
+111.75000E-06,+14.83682688120E+00,+14.93969694297E+00,+102.82131087E-03
+111.80000E-06,+14.83487257834E+00,+14.94155149951E+00,+106.62998211E-03
+111.85000E-06,+14.83169035812E+00,+14.93577219203E+00,+104.03266143E-03
+111.90000E-06,+14.82934051024E+00,+14.93609759924E+00,+106.70676166E-03
+111.95000E-06,+14.82747520630E+00,+14.93805517275E+00,+110.52887523E-03
+112.00000E-06,+14.82512628180E+00,+14.93589569526E+00,+110.71875248E-03
+112.05000E-06,+14.82346108860E+00,+14.93704720261E+00,+113.53354933E-03
+112.10000E-06,+14.82120014541E+00,+14.93164626676E+00,+110.39453038E-03
+112.15000E-06,+14.81851820429E+00,+14.92659316310E+00,+108.02423904E-03
+112.20000E-06,+14.81621491068E+00,+14.92466717904E+00,+108.40127112E-03
+112.25000E-06,+14.81375619724E+00,+14.92147300158E+00,+107.66672239E-03
+112.30000E-06,+14.81135089597E+00,+14.92224812126E+00,+110.84603561E-03
+112.35000E-06,+14.80953019851E+00,+14.92112497190E+00,+111.54293713E-03
+112.40000E-06,+14.80754785426E+00,+14.91985983433E+00,+112.25931448E-03
+112.45000E-06,+14.80516840088E+00,+14.91968325211E+00,+114.46136677E-03
+112.50000E-06,+14.80330127053E+00,+14.91638473555E+00,+113.03025144E-03
+112.55000E-06,+14.80155934996E+00,+14.91380958031E+00,+112.19802373E-03
+112.60000E-06,+14.79888663210E+00,+14.91153402960E+00,+112.59563098E-03
+112.65000E-06,+14.79636524254E+00,+14.90753603075E+00,+111.11919806E-03
+112.70000E-06,+14.79419662319E+00,+14.90663008787E+00,+112.38030500E-03
+112.75000E-06,+14.79248177391E+00,+14.90513529061E+00,+112.60186827E-03
+112.80000E-06,+14.79016384188E+00,+14.90560145585E+00,+115.38509711E-03
+112.85000E-06,+14.78815364089E+00,+14.90514522092E+00,+116.93777731E-03
+112.90000E-06,+14.78665757802E+00,+14.90283717848E+00,+116.12517050E-03
+112.95000E-06,+14.78451650635E+00,+14.90028435400E+00,+115.71408905E-03
+113.00000E-06,+14.78290694142E+00,+14.89798071289E+00,+115.02084524E-03
+113.05000E-06,+14.78063039723E+00,+14.89491009973E+00,+114.22608496E-03
+113.10000E-06,+14.77828817008E+00,+14.89317951301E+00,+114.83709230E-03
+113.15000E-06,+14.77602373312E+00,+14.89124067020E+00,+115.16330744E-03
+113.20000E-06,+14.77377828541E+00,+14.88878183616E+00,+114.94993922E-03
+113.25000E-06,+14.77219662620E+00,+14.88857297930E+00,+116.32304874E-03
+113.30000E-06,+14.77030722162E+00,+14.88692749370E+00,+116.56655337E-03
+113.35000E-06,+14.76856999334E+00,+14.88582901483E+00,+117.20407727E-03
+113.40000E-06,+14.76648955279E+00,+14.88393129077E+00,+117.38666992E-03
+113.45000E-06,+14.76462137995E+00,+14.88077618328E+00,+116.10193958E-03
+113.50000E-06,+14.76229032157E+00,+14.87962933429E+00,+117.28468961E-03
+113.55000E-06,+14.76057914924E+00,+14.87787775704E+00,+117.24442229E-03
+113.60000E-06,+14.75858568747E+00,+14.87618915441E+00,+117.54860231E-03
+113.65000E-06,+14.75628138002E+00,+14.87489496688E+00,+118.55939006E-03
+113.70000E-06,+14.75464079474E+00,+14.87373471567E+00,+119.03869881E-03
+113.75000E-06,+14.75281536656E+00,+14.87161388678E+00,+118.74456521E-03
+113.80000E-06,+14.75091803823E+00,+14.87133391221E+00,+120.35977472E-03
+113.85000E-06,+14.74863766333E+00,+14.86925376337E+00,+120.56056231E-03
